clean_text,class
난 누구니,DIGITAL_P채팅
상품 불량,DIGITAL_P교환문의
홈이 안떠,DIGITAL_P기타faq문의
주문이 안된다니깐요,DIGITAL_P기타faq문의
다음에 연락할께요,DIGITAL_P대화종료
내일 상품 받을수 있나,DIGITAL_P배송일문의
사진 못올려,DIGITAL_P사진올리기기능안내
주문번호확인해보세요,DIGITAL_P주문완료
이용중지 하려구요,DIGITAL_P기타faq문의
해지해주세요,DIGITAL_P기타faq문의
상품권어떻게써요,DIGITAL_P기타faq문의
디지털만 문의드려야되나요,DIGITAL_P상담품목
가격도 괜찬은걸,MART_P행사상품
노잼이다 너 매우,DIGITAL_P채팅
장바구니에 어떻게 담나요,DIGITAL_P찜기능안내
가격차이 심한가요,DIGITAL_P가격차이
11번가 데이터,DIGITAL_P기타faq문의
상품 검색이 안되요,DIGITAL_P기타faq문의
구매상품을 보고싶어요,DIGITAL_P주문이력확인
어떤게 좋을까요,DIGITAL_P추천
취소는 어떻게 하나요,DIGITAL_P주문취소
즉당히 보내,DIGITAL_P기타faq문의
톡매니저 불러줘,DIGITAL_P상담원연결
쿠폰 취소,DIGITAL_P쿠폰적용문의
두툼사용법,DIGITAL_P기타faq문의
쿠폰 재사용,DIGITAL_P쿠폰적용문의
무슨 차인가요,DIGITAL_P차이점
각각 가격이,DIGITAL_P가격문의
상품 옵션변경,DIGITAL_P옵션변경문의
사람맞는거같은데,DIGITAL_P챗봇여부문의
너무 비싼거 말고,MART_P행사상품
싸게샀으면 합니다,MART_P행사상품
배송이 안됐는데 됐다고,DIGITAL_P배송문의
너무 고가,MART_P행사상품
취소하고 다시 주문하,DIGITAL_P주문취소
톡톡톡매니톡,DIGITAL_P상담원연결
바로 할인가 뭐예요,DIGITAL_P바로할인가설명
제품이 왔어요,DIGITAL_P배송문의
쿠폰 같은 것 있,DIGITAL_P쿠폰요청
택배수거요,DIGITAL_P반품문의
계좌 입력은 어디서,DIGITAL_P결제문의
포인트사용 가능,DIGITAL_P결제문의
제품의 손상에 대한 문의,DIGITAL_P기타faq문의
제품군 종류좀 알려주세,DIGITAL_P상품문의_P상담원연결
가위바위보하자,DIGITAL_P채팅
결재창이 열리지 않습니다,DIGITAL_P결제문의
통화 연결 안됨,DIGITAL_P전화요청
물건이 하나가 덜 왔어요,DIGITAL_P배송문의
캐시를 쓸려면 어떻게,DIGITAL_P기타faq문의
최근 제조일자로 보내,MART_P새제품요청
NUGU 서비스를 통해,DIGITAL_P기타faq문의
매장꺼랑 모델명이 다르네요,DIGITAL_P제품별차이점
할부 개월수 변경,DIGITAL_P결제문의
한가지만 물어볼께요,DIGITAL_P상담요청
주소지 추가를 어찌하나요,DIGITAL_P배송지변경문의
발송은 언제되나요,DIGITAL_P배송문의
아이디 잘못,DIGITAL_P회원정보문의
성별을 어디에 적어,DIGITAL_P기타faq문의
티멤버쉽이안되요,DIGITAL_P기타faq문의
쿠폰등록 어떻게,DIGITAL_P쿠폰적용문의
최근에 구매한내용,MART_P지난구매상품보기
상품몰은어디에서,DIGITAL_P기타faq문의
취소요구하고보냈는데요,DIGITAL_P주문취소
직배송은 어떻게 되는건가요,DIGITAL_P배송문의
계좌변경은 어디서,DIGITAL_P결제문의
유통기한 날짜 확인,MART_P유통기한문의
채팅 나가는법,DIGITAL_P도움말보기
나랑 사귀자,DIGITAL_P채팅
쿠폰 사용처 좀 알려,DIGITAL_P쿠폰적용문의
미사용고객,DIGITAL_P기타faq문의
가격관련해서문의,DIGITAL_P가격문의
나의 쇼핑 내역,DIGITAL_P주문이력확인
데이터 무료,DIGITAL_P기타faq문의
이벤트 언제,DIGITAL_P행사문의
내가 자주 사는,MART_P자주구매상품
주문제품이 다릅니다,DIGITAL_P기타faq문의
확인요청드립니다,DIGITAL_P확인
쿠폰이 필요해요,DIGITAL_P쿠폰요청
최저가가 얼매나 되나요,DIGITAL_P가격문의
나가기는 어떻게해요,DIGITAL_P대화종료
포인트 전환 방법,DIGITAL_P기타faq문의
로 바꾸고 싶어요,DIGITAL_P기타faq문의
추천 부탁,DIGITAL_P추천
홈플러스쿠폰,DIGITAL_P쿠폰요청
데이터 공짜,DIGITAL_P기타faq문의
여러개 사고싶다,MART_P다중검색실행
배송비 관련 상담,DIGITAL_P배송비문의
제안을 해줘,DIGITAL_P추천
사진올리려고 하는데요,DIGITAL_P사진올리기기능안내
상담원분이신거죠,DIGITAL_P챗봇여부문의
궁금한거물어봐도되요,DIGITAL_P상담요청
어떤 대화를 해야,DIGITAL_P채팅
주문건 캔슬,DIGITAL_P주문취소
다른거 고를래,DIGITAL_P추가추천
언제 생산했나요,MART_P제조일자문의
마트에서만 하는거에요,MART_P마트챗봇문의
어린이날쿠폰,DIGITAL_P쿠폰요청
웰컴혜택 어디,DIGITAL_P쿠폰요청
실례했습니다 나중에 다시,DIGITAL_P대화종료
뭐가 다른건가요,DIGITAL_P차이점
상담 받고 싶,DIGITAL_P상담요청
쿠폰 적요이 안되나요,DIGITAL_P쿠폰적용문의
직원코드가 필요,DIGITAL_P기타faq문의
프로모션에 적용이 되나요,DIGITAL_P행사문의
리뷰 평점 문의,DIGITAL_P리뷰평점문의
sk포인트,DIGITAL_P결제문의
본인 인증 회원,DIGITAL_P본인인증문의
취소 건에 대해서,DIGITAL_P주문취소
쓰던거 반납처리좀 해주세요,DIGITAL_P폐가전수거
싸이즈른 봐야해서요,DIGITAL_P사이즈문의
쓰던거 수거하는 거는,DIGITAL_P폐가전수거
어떤 색상,DIGITAL_P색상변경문의
상품권으로 구매 가능,DIGITAL_P결제문의
물건 없나요,DIGITAL_P추천
vip 카테고리,DIGITAL_P기타faq문의
쿠폰 발급해주신 걸로,DIGITAL_P쿠폰적용문의
넌 무슨 상담 해,MART_P마트챗봇문의
어디서 하소연하지요,DIGITAL_P상담원연결
차이 많이 나는지요,DIGITAL_P차이점
11번가 pay 등록,DIGITAL_P결제문의
케시백 어떻게 쓰나요,DIGITAL_P기타faq문의
물건 산 기록,DIGITAL_P주문이력확인
니가 챗봇이니,DIGITAL_P챗봇여부문의
카드 전표,DIGITAL_P주문이력확인
제품 새로 업데이트되는거,DIGITAL_P기타faq문의
배송이 안되고,DIGITAL_P배송문의
콕콕11시,DIGITAL_P행사문의
톡매니저 뭐야,DIGITAL_P톡매니저
다른 상품으로,DIGITAL_P추가추천
새로 검색,DIGITAL_P추천
휴 어지러워요,DIGITAL_P채팅
프로모션 관련 문의,MART_P이벤트 
혜택좋은 아이템,MART_P행사상품문의
체크카드로도 가능한가요,DIGITAL_P결제문의
쿠폰 저게 최대치인가요,DIGITAL_P쿠폰요청
할인 쿠폰 안 보입니다,DIGITAL_P쿠폰요청
두툼 포인트 사용,DIGITAL_P기타faq문의
성명바꾸기,DIGITAL_P회원정보문의
판매자가 취소 거부,DIGITAL_P기타faq문의
못찻겟어요,DIGITAL_P추천
정말 날 기다렸니,DIGITAL_P채팅
반품도되나요,DIGITAL_P반품문의
신선식품 종류가 많아요,MART_P신선식품문의
재발급가능 한가요,DIGITAL_P기타faq문의
제품 차이가 있다던데,DIGITAL_P차이점
내주문상태,DIGITAL_P주문이력확인
사용 방법 알려주세요,DIGITAL_P도움말보기
할인쿠폰어떻게쓰냐,DIGITAL_P쿠폰적용문의
할인쿠폰 미적용,DIGITAL_P쿠폰적용문의
나중에 통화해볼께요,DIGITAL_P대화종료
리뷰 좀 보여,DIGITAL_P리뷰요청
이런 상담은 어떻게,DIGITAL_P상담요청
상담사 확인해줘,DIGITAL_P상담사연결
캐쉬 사용법,DIGITAL_P기타faq문의
상담 받으려고 하는,DIGITAL_P상담요청
배송중인 상품의 위치,MART_P배송문의
에너지소비등급문의,DIGITAL_P에너지소비등급문의
배송이 된지 궁금,DIGITAL_P배송문의
돈이 안들어오네요,DIGITAL_P환불문의
제가 산거,DIGITAL_P주문이력확인
녹지않게 얼음팩주세요,MART_P아이스팩문의
입급확인 부탁,DIGITAL_P기타faq문의
경비실 보관으로 부탁드립,DIGITAL_P배송문의
설치비 안내,DIGITAL_P설치비문의
쿠폰 어디서받,DIGITAL_P쿠폰요청
배송은 어떻게 되는건가요,DIGITAL_P배송문의
링크좀 쏴주심,DIGITAL_P링크요청
이중에 없어,DIGITAL_P추가추천
택배로 착불로,DIGITAL_P환불문의
해고나 먹어라,DIGITAL_P채팅
환불이 되지안아 문의,DIGITAL_P환불문의
선물함이란 무엇인가요,DIGITAL_P기타faq문의
보관 부탁하려구요,DIGITAL_P배송문의
알리미서비스 해제,DIGITAL_P알림설정문의_P기타faq문의
차이가 많이나나요,DIGITAL_P차이점
검색해서 알려주세요,DIGITAL_P대화종료
설명을 해달라고,"FAQ_P도움말요청,DIGITAL_P설명요청"
환불받고 싶어요,DIGITAL_P환불문의
내맘대로 PLUS 쿠폰팩,DIGITAL_P쿠폰요청
오늘은 무슨 요일,DIGITAL_P채팅
처음으로 이동,DIGITAL_P처음으로
그냥 켜봤어,DIGITAL_P채팅
쿠폰인증번호 어디서 받나요,DIGITAL_P쿠폰인증번호문의
프로그램인가요 사람인가요,DIGITAL_P챗봇여부문의
나의 주문관리,MART_P지난구매상품보기
싸이즈가 너무 커,DIGITAL_P기타faq문의
여기 없네요,DIGITAL_P상담품목
가지가지 한다,DIGITAL_P채팅
주문을 취소했는데,DIGITAL_P주문취소
마트챗봇 상담하기,MART_P상담요청
싸게 사고 싶어요,MART_P행사상품
견적 내고 싶은데,DIGITAL_P가격문의
처음 단계,DIGITAL_P처음으로
취소부탁드릴께요,DIGITAL_P주문취소
연락주세요,DIGITAL_P전화요청
아니 뭐파냐고,MART_P마트챗봇문의
카드 포인트 연계할부,DIGITAL_P결제문의
주문 주소 잘못,DIGITAL_P배송지변경문의
적용할수있는 쿠폰은 없나요,DIGITAL_P쿠폰요청
할수있는게뭐니,DIGITAL_P상담품목
쿠폰 적용 금액,DIGITAL_P쿠폰적용문의
그때 주문한거 다시 살려,MART_P지난구매상품보기
대화내용삭제,DIGITAL_P기타faq문의
주문한게 조회가 안돼,DIGITAL_P주문이력확인
뭐가 맛있을거 같아,DIGITAL_P채팅
취소된 금액,DIGITAL_P주문취소
배송관련 상담,DIGITAL_P배송문의
전화오나요,DIGITAL_P전화요청
ok케쉬백,DIGITAL_P기타faq문의
주문한 상품이왔는데,DIGITAL_P배송완료
제일 비싸네,MART_P행사상품
오늘 상품 받을수 있나,DIGITAL_P배송일문의
그럼 이만,DIGITAL_P대화종료
전기세요금 얼마정도,DIGITAL_P상담원연결
언제 재입고,MART_P재입고문의
용량 어떻게 구분되어 있,DIGITAL_P용량문의
품절건인데요,DIGITAL_P기타faq문의
구매한 제품 as,DIGITAL_Pa/s문의
톡매니저 이딧나요,DIGITAL_P상담원연결
Q A를 작성했는데,DIGITAL_P상담원연결
기존 제품은 가져가요,DIGITAL_P폐가전수거
물건보냈는지 한참되었는데,DIGITAL_P반품문의
주소지관리,DIGITAL_P회원정보문의
시켰는데 몇일걸랴,DIGITAL_P배송문의
전화주시면 감사하겠습니다,DIGITAL_P전화요청
이게 다예요,DIGITAL_P추가추천
오늘상담은해요,DIGITAL_P상담시간
어디로 포인트 들어와있나,DIGITAL_P적립문의
왓슨 기반이니,DIGITAL_P챗봇여부문의
이메일 주스 어떻게 바꾸,DIGITAL_P회원정보문의
사업자등록증,DIGITAL_P기타faq문의
구매 후 구매확정,DIGITAL_P구매완료
카드등록 다시할려면,DIGITAL_P결제문의
나우배송 지금 주문,DIGITAL_P배송문의
실제 제품 볼 수 있나요,DIGITAL_P실물확인
저게 다에요,DIGITAL_P추가추천
이용가이드 보여줘,DIGITAL_P도움말보기
확인 가능,DIGITAL_P확인
가격차이 있는것들이 있는데,DIGITAL_P가격차이
그냥 제가 찾아볼게여,DIGITAL_P대화종료
결제 카드 추가방법,DIGITAL_P결제문의
니가 할울 아는 건 뭐니,DIGITAL_P상담품목
사람인데 기계인척하는거지,DIGITAL_P챗봇여부문의
물건을 받지 못했어요,DIGITAL_P배송문의
너를 찾고 있어,DIGITAL_P채팅
웰컴딜 환불,DIGITAL_P쿠폰적용문의
제품 뭐가 있을까요,DIGITAL_P상품문의_P상담원연결
결제창 부탁 드릴게요,DIGITAL_P결제문의
선물 기능,DIGITAL_P기타faq문의
최대 할인율이고,DIGITAL_P할인문의
카드 무이자 할부,DIGITAL_P결제문의
쿠폰 받으려니 인증,DIGITAL_P본인인증문의
첫 구매고객,DIGITAL_P쿠폰요청
장바구니도 안열린다구요,DIGITAL_P기타faq문의
매니저좀 불러줘요,DIGITAL_P상담원연결
디지털 장비만 되,DIGITAL_P상담품목
스타일리쉬한거,DIGITAL_P디자인문의
제 아이디가 뭔지,DIGITAL_P회원정보문의
쿠폰이 안보여요,DIGITAL_P쿠폰요청
페이백이요,DIGITAL_P적립문의
상품이 아직미도착이요,DIGITAL_P배송문의
코디상품 구매도 가능,DIGITAL_P기타faq문의
