sub_sent,class,domain,intent
프리미어를 이용,DIGITAL_FEAT그래픽작업용,DIGITAL,FEAT
$소개를 좀 해줄 수 있어$,DIGITAL_GREETINGintro,DIGITAL,GREETING
환불 절차 문의,DIGITAL_P환불문의,DIGITAL,P
베스투상품,DIGITAL_RECOMpopular,DIGITAL,RECOM
모두 보고 싶어,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
서핑용도,DIGITAL_FEAT사무/인강용,DIGITAL,FEAT
답변이 늦으시네요,DIGITAL_GREETINGwait,DIGITAL,GREETING
자동응답인지,DIGITAL_P챗봇여부문의,DIGITAL,P
무료배송,DIGITAL_FEAT무료배송,DIGITAL,FEAT
(소심),DIGITAL_IMOTICON(소심),DIGITAL,IMOTICON
선호 제조사는 없,DIGITAL_BRAND브랜드DC,DIGITAL,BRAND
원빈 광고 밥솥,DIGITAL_BRAND쿠쿠홈시스_CATE전기밥솥,DIGITAL,BRAND
선물받고싶어요,DIGITAL_P채팅,DIGITAL,P
널 만든게 누구야,DIGITAL_P채팅,DIGITAL,P
입금 안됨,DIGITAL_P환불문의,DIGITAL,P
주문확인 ,DIGITAL_P주문이력확인,DIGITAL,P
완전깡통봇이네욧,DIGITAL_GREETINGclaim,DIGITAL,GREETING
$브라우저$,DIGITAL_bypass,DIGITAL,bypass
그래픽과 사무용,DIGITAL_FEAT사무/인강용or그래픽작업용,DIGITAL,FEAT
$그냥대화,DIGITAL_P대화계속,DIGITAL,P
$잘했엉$,DIGITAL_GREETINGcheer,DIGITAL,GREETING
아이디가두개라,DIGITAL_P회원정보문의,DIGITAL,P
$내맘데로$,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
음파,"DIGITAL_FEAT음파식,FAQ_ENTRY음파식전동칫솔",DIGITAL,FEAT
상담 번화번호 알려주세요,DIGITAL_P기타faq문의,DIGITAL,P
위니아 밥솥,DIGITAL_BRAND대유위니아_CATE전기밥솥,DIGITAL,BRAND
수리 맡기려면 어떻게,DIGITAL_Pa/s문의,DIGITAL,P
쓰레기같은놈,DIGITAL_slang,DIGITAL,slang
$소식지$,DIGITAL_P기타faq문의,DIGITAL,P
5000시리즈,DIGITAL_FEAT시리즈5000,DIGITAL,FEAT
영수증출력,DIGITAL_P기타faq문의,DIGITAL,P
너무 비싸면 부담돼서,DIGITAL_PRICEs,DIGITAL,PRICE
말도 못알아 듣는게,DIGITAL_GREETINGclaim,DIGITAL,GREETING
본인 확인 전환 어떻게,DIGITAL_P본인인증문의,DIGITAL,P
뭐든 물어봐도 되니,DIGITAL_P상담품목,DIGITAL,P
동영상 반복재생,DIGITAL_FEAT동영상/영화감상용,DIGITAL,FEAT
구입한 제품,DIGITAL_P주문완료,DIGITAL,P
대학교에 가서 쓸려구요,DIGITAL_FEAT학습용,DIGITAL,FEAT
주문내역 취소하면 쿠폰,DIGITAL_P쿠폰적용문의,DIGITAL,P
물건이 이상해요,DIGITAL_P반품문의,DIGITAL,P
상담은 가전제품만,DIGITAL_P상담품목,DIGITAL,P
문화상품권등록은 어디에서,DIGITAL_P기타faq문의,DIGITAL,P
$나빴어$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
별차이없으면,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
$너는 뭐야$,DIGITAL_GREETINGintro,DIGITAL,GREETING
니나 사람이 되라,DIGITAL_P채팅,DIGITAL,P
테블릿피씨,"DIGITAL_CATEN태블릿,FAQ_ENTRY태블릿pc",DIGITAL,CATEN
환불이 안되서 문의,DIGITAL_P환불문의,DIGITAL,P
쓰던거 반납처리좀 해주세요,DIGITAL_P폐가전수거,DIGITAL,P
어투가 예뻐서요,DIGITAL_GREETINGgood,DIGITAL,GREETING
미세먼지까지 청소,DIGITAL_FEAT미세먼지_CATE청소기,DIGITAL,FEAT
물건 고장나면 어떻게 하나요,DIGITAL_Pa/s문의,DIGITAL,P
퀀텀닷,"DIGITAL_CATEtv_BRAND삼성전자_PRODUCT퀀텀닷_FEAT울트라hd,FAQ_ENTRY퀀텀닷",DIGITAL,CATE
차랑용 청소기,DIGITAL_CATEN차량용청소기,DIGITAL,CATEN
공부좀 더 하고,DIGITAL_GREETINGclaim,DIGITAL,GREETING
$이 색히가$,DIGITAL_slang,DIGITAL,slang
맥 mini,"DIGITAL_CATE애플_SUBCATmac_MACPRODUCTmacmini,FAQ_ENTRYmacmini",DIGITAL,CATE
상담을 안하자나요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
개인 정보가 틀려서 수정,DIGITAL_P회원정보문의,DIGITAL,P
여기에 없어용,DIGITAL_YESNOno,DIGITAL,YESNO
$녀석$,DIGITAL_bypass,DIGITAL,bypass
닭치란말에야,DIGITAL_slang,DIGITAL,slang
$아니 진짜$,DIGITAL_bypass,DIGITAL,bypass
너무해 바로,DIGITAL_P채팅_GREETINGclaim,DIGITAL,P
자동반납 신청이 된다고 알림이 왔었는데,DIGITAL_CATEN대여,DIGITAL,CATEN
트위터로 공유하고 싶어요,DIGITAL_P기타faq문의,DIGITAL,P
오 쓸만한데,DIGITAL_GREETINGcheer,DIGITAL,GREETING
$너는 뭔지$,DIGITAL_GREETINGintro,DIGITAL,GREETING
윈도우 포함안된,DIGITAL_FEAT운영체제미포함,DIGITAL,FEAT
가장비싼것,DIGITAL_PRICExl,DIGITAL,PRICE
$누구양$,DIGITAL_GREETINGintro,DIGITAL,GREETING
업서요,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
주문한지 며칠이나지났는데 확인,DIGITAL_P배송문의,DIGITAL,P
배송 왜 안해,DIGITAL_P배송문의,DIGITAL,P
풀에이치디,"DIGITAL_FEAT풀hd,FAQ_ENTRYfull-hd해상도",DIGITAL,FEAT
보통크기요,"DIGITAL_SIZEm,MART_ATTR중형",DIGITAL,SIZE
오옷,DIGITAL_GREETINGcheer,DIGITAL,GREETING
자세히 좀 더알고싶은데요,DIGITAL_P상담원연결,DIGITAL,P
본인확인이뮌가요,DIGITAL_P기타faq문의,DIGITAL,P
제품을 보고 구매하고 싶어요,DIGITAL_P실물확인,DIGITAL,P
가진 제품종류가 몇가지,DIGITAL_P상담품목,DIGITAL,P
텔레비,DIGITAL_CATEtv,DIGITAL,CATE
폰 킬때마다 계속 뜨는데,DIGITAL_P기타faq문의,DIGITAL,P
$혹시 제가$,DIGITAL_bypass,DIGITAL,bypass
싸면,DIGITAL_PRICEs,DIGITAL,PRICE
환불문제,DIGITAL_P환불문의,DIGITAL,P
제품을 방금 받았는데,DIGITAL_P배송완료,DIGITAL,P
$그거$,DIGITAL_YESNOyes,DIGITAL,YESNO
난리났구나,DIGITAL_GREETINGclaim,DIGITAL,GREETING
//기억해 놓겠습니다,DIGITAL_P구매예정,DIGITAL,P
$패션$,DIGITAL_CATEN패션,DIGITAL,CATEN
캐시로 주문하는방법,DIGITAL_P기타faq문의 ,DIGITAL,P
구매내역 들어가면 아직 배송중으로 뜨던데,DIGITAL_P배송문의,DIGITAL,P
내일 물건 받을수,DIGITAL_P배송일문의,DIGITAL,P
//할인쿠폰 ,DIGITAL_P할인쿠폰 ,DIGITAL,P
고가 에어컨,DIGITAL_CATEaircon_PRICExl,DIGITAL,CATE
필터타입,DIGITAL_FEAT필터식,DIGITAL,FEAT
결혼기념일,DIGITAL_FEAT선물용,DIGITAL,FEAT
딱이읍서요,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
도움주셔서 감사합니다,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
왜 이렇게 엉터리야,DIGITAL_GREETINGclaim,DIGITAL,GREETING
문의하려는데 언제 되요,DIGITAL_P상담시간,DIGITAL,P
할인카드,DIGITAL_P행사문의,DIGITAL,P
할인되는 쿠폰은,DIGITAL_P쿠폰요청,DIGITAL,P
차이점 뭔가요,DIGITAL_P차이점,DIGITAL,P
쿠폰 적용 안되,DIGITAL_P쿠폰적용문의,DIGITAL,P
혼자 사는 사람입니다,DIGITAL_FEAT소형_VOLUMEs,DIGITAL,FEAT
영화 보고,DIGITAL_FEAT동영상/영화감상용,DIGITAL,FEAT
$카비$,DIGITAL_FEAT카비레이크,DIGITAL,FEAT
살펴보고 결정,DIGITAL_P구매예정,DIGITAL,P
고맙소,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
구매의사결정을,DIGITAL_P구매예정,DIGITAL,P
초대는 어떻게,DIGITAL_P기타faq문의,DIGITAL,P
고맙긴하네,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
수취인성함,DIGITAL_P배송문의,DIGITAL,P
$좋군$,DIGITAL_GREETINGgood,DIGITAL,GREETING
톡매니저는 사람,DIGITAL_P챗봇여부문의,DIGITAL,P
마트챗봇나와라,"DIGITAL_P마트챗봇호출,MART_GREETINGcall",DIGITAL,P
수요일에 받을수 있나,DIGITAL_P배송문의,DIGITAL,P
딴상품 찾을래,DIGITAL_P새상담,DIGITAL,P
넌 내 꼬붕이야,DIGITAL_P채팅,DIGITAL,P
성의도 없고,DIGITAL_GREETINGclaim,DIGITAL,GREETING
카드 저장,DIGITAL_P결제문의,DIGITAL,P
장기미고객,DIGITAL_P쿠폰요청,DIGITAL,P
혼밥족,DIGITAL_CATE전기밥솥_NUM1인용,DIGITAL,CATE
이거어떻게하는건가요,DIGITAL_P도움말보기,DIGITAL,P
쿠폰발급마감된건가요,DIGITAL_P쿠폰요청,DIGITAL,P
취소한거 재주문,DIGITAL_P주문취소,DIGITAL,P
어제주문건,DIGITAL_P주문이력확인,DIGITAL,P
너 친구는 있니,DIGITAL_P채팅,DIGITAL,P
$떽$,DIGITAL_bypass,DIGITAL,bypass
