sub_sent,class,domain,intent
난 누구니,DIGITAL_P채팅,DIGITAL,P
$상품 불량$,DIGITAL_P교환문의,DIGITAL,P
홈이 안떠,DIGITAL_P기타faq문의,DIGITAL,P
주문이 안된다니깐요,DIGITAL_P기타faq문의,DIGITAL,P
다음에 연락할께요,DIGITAL_P대화종료,DIGITAL,P
내일 상품 받을수 있나,DIGITAL_P배송일문의,DIGITAL,P
제품도착,DIGITAL_P배송문의,DIGITAL,P
사진 못올려,DIGITAL_P사진올리기기능안내,DIGITAL,P
$가이드$,DIGITAL_P도움말보기,DIGITAL,P
주문번호확인해보세요,DIGITAL_P주문완료,DIGITAL,P
이용중지 하려구요,DIGITAL_P기타faq문의,DIGITAL,P
해지해주세요,DIGITAL_P기타faq문의,DIGITAL,P
상품권어떻게써요,DIGITAL_P기타faq문의,DIGITAL,P
디지털만 문의드려야되나요,DIGITAL_P상담품목,DIGITAL,P
가격도 괜찬은걸,MART_P행사상품,MART,P
쿠폰 사용할 수 없다는 메세지,DIGITAL_P쿠폰적용문의,DIGITAL,P
노잼이다 너 매우,DIGITAL_P채팅,DIGITAL,P
$콜센터$,DIGITAL_P고객센터문의,DIGITAL,P
장바구니에 어떻게 담나요,DIGITAL_P찜기능안내,DIGITAL,P
뭐죠,"FAQ_P도움말요청,DIGITAL_P설명요청",FAQ,P
가격차이 심한가요,DIGITAL_P가격차이,DIGITAL,P
$내아이디$,DIGITAL_P회원정보문의,DIGITAL,P
얼마예요,DIGITAL_P가격문의,DIGITAL,P
11번가 데이터,DIGITAL_P기타faq문의,DIGITAL,P
상품 검색이 안되요,DIGITAL_P기타faq문의,DIGITAL,P
구매상품을 보고싶어요,DIGITAL_P주문이력확인,DIGITAL,P
어떤게 좋을까요,DIGITAL_P추천,DIGITAL,P
취소는 어떻게 하나요,DIGITAL_P주문취소,DIGITAL,P
내자지,DIGITAL_P19금,DIGITAL,P
$즉당히 보내$,DIGITAL_P기타faq문의,DIGITAL,P
입금정보,DIGITAL_P결제문의,DIGITAL,P
톡매니저 불러줘,DIGITAL_P상담원연결,DIGITAL,P
$쿠폰 취소$,DIGITAL_P쿠폰적용문의,DIGITAL,P
얼마죠,DIGITAL_P가격문의,DIGITAL,P
두툼사용법,DIGITAL_P기타faq문의,DIGITAL,P
쿠폰 재사용,DIGITAL_P쿠폰적용문의,DIGITAL,P
무슨 차인가요,DIGITAL_P차이점,DIGITAL,P
$각각 가격이$,DIGITAL_P가격문의,DIGITAL,P
상품 옵션변경,DIGITAL_P옵션변경문의,DIGITAL,P
사람맞는거같은데,DIGITAL_P챗봇여부문의,DIGITAL,P
너무 비싼거 말고,MART_P행사상품,MART,P
싸게샀으면 합니다,MART_P행사상품,MART,P
$우울해$,DIGITAL_P채팅,DIGITAL,P
배송이 안됐는데 됐다고,DIGITAL_P배송문의,DIGITAL,P
관심물품,DIGITAL_P찜한상품,DIGITAL,P
욕해봐,DIGITAL_P채팅,DIGITAL,P
너무 고가,MART_P행사상품,MART,P
취소하고 다시 주문하,DIGITAL_P주문취소,DIGITAL,P
톡톡톡매니톡,DIGITAL_P상담원연결,DIGITAL,P
주문햇,DIGITAL_P주문완료,DIGITAL,P
바로 할인가 뭐예요,DIGITAL_P바로할인가설명,DIGITAL,P
제품이 왔어요,DIGITAL_P배송문의,DIGITAL,P
쿠폰 같은 것 있,DIGITAL_P쿠폰요청,DIGITAL,P
$반사$,DIGITAL_P채팅,DIGITAL,P
택배수거요,DIGITAL_P반품문의,DIGITAL,P
계좌 입력은 어디서,DIGITAL_P결제문의,DIGITAL,P
포인트사용 가능,DIGITAL_P결제문의,DIGITAL,P
제품의 손상에 대한 문의,DIGITAL_P기타faq문의,DIGITAL,P
제품군 종류좀 알려주세,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
$ai임$,DIGITAL_P챗봇여부문의,DIGITAL,P
$처음$,DIGITAL_P처음으로,DIGITAL,P
가위바위보하자,DIGITAL_P채팅,DIGITAL,P
결재창이 열리지 않습니다,DIGITAL_P결제문의,DIGITAL,P
통화 연결 안됨,DIGITAL_P전화요청,DIGITAL,P
물건이  하나가 덜 왔어요,DIGITAL_P배송문의,DIGITAL,P
캐시를 쓸려면 어떻게,DIGITAL_P기타faq문의,DIGITAL,P
최근 제조일자로 보내,MART_P새제품요청,MART,P
NUGU 서비스를 통해,DIGITAL_P기타faq문의,DIGITAL,P
매장꺼랑 모델명이 다르네요,DIGITAL_P제품별차이점,DIGITAL,P
할부 개월수 변경,DIGITAL_P결제문의,DIGITAL,P
한가지만 물어볼께요,DIGITAL_P상담요청,DIGITAL,P
주소지 추가를 어찌하나요,DIGITAL_P배송지변경문의,DIGITAL,P
발송은 언제되나요,DIGITAL_P배송문의,DIGITAL,P
아이디 잘못,DIGITAL_P회원정보문의,DIGITAL,P
찾아주,DIGITAL_P추천,DIGITAL,P
성별을 어디에 적어,DIGITAL_P기타faq문의,DIGITAL,P
할부기간,DIGITAL_P결제문의,DIGITAL,P
티멤버쉽이안되요,DIGITAL_P기타faq문의,DIGITAL,P
쿠폰등록 어떻게,DIGITAL_P쿠폰적용문의,DIGITAL,P
최근에 구매한내용,MART_P지난구매상품보기,MART,P
상품몰은어디에서,DIGITAL_P기타faq문의,DIGITAL,P
취소요구하고보냈는데요,DIGITAL_P주문취소,DIGITAL,P
직배송은 어떻게 되는건가요,DIGITAL_P배송문의,DIGITAL,P
계좌변경은 어디서,DIGITAL_P결제문의,DIGITAL,P
유통기한 날짜 확인,MART_P유통기한문의,MART,P
채팅 나가는법,DIGITAL_P도움말보기,DIGITAL,P
나랑 사귀자,DIGITAL_P채팅,DIGITAL,P
싼,MART_P행사상품,MART,P
쿠폰 사용처 좀 알려,DIGITAL_P쿠폰적용문의,DIGITAL,P
$미사용고객$,DIGITAL_P기타faq문의,DIGITAL,P
가격관련해서문의,DIGITAL_P가격문의,DIGITAL,P
나의 쇼핑 내역,DIGITAL_P주문이력확인,DIGITAL,P
데이터 무료,DIGITAL_P기타faq문의,DIGITAL,P
추천이유,DIGITAL_P추천기준,DIGITAL,P
이벤트 언제,DIGITAL_P행사문의,DIGITAL,P
챗가능,DIGITAL_P채팅,DIGITAL,P
내가 자주 사는,MART_P자주구매상품,MART,P
주문제품이 다릅니다,DIGITAL_P기타faq문의,DIGITAL,P
$확인요청드립니다$,DIGITAL_P확인,DIGITAL,P
추후에 다시 이용해보겠습니다,DIGITAL_P대화종료,DIGITAL,P
$여자야$,DIGITAL_P채팅,DIGITAL,P
쿠폰이 필요해요,DIGITAL_P쿠폰요청,DIGITAL,P
최저가가 얼매나 되나요,DIGITAL_P가격문의,DIGITAL,P
$롯데카드$,DIGITAL_P결제문의,DIGITAL,P
직접 대화하시는거죠 신기해서요,DIGITAL_P챗봇여부문의,DIGITAL,P
나가기는 어떻게해요,DIGITAL_P대화종료,DIGITAL,P
포인트 전환 방법,DIGITAL_P기타faq문의,DIGITAL,P
$로 바꾸고 싶어요,DIGITAL_P기타faq문의,DIGITAL,P
추천 부탁,DIGITAL_P추천,DIGITAL,P
$홈플러스쿠폰$,DIGITAL_P쿠폰요청,DIGITAL,P
사용 가능 쿠폰 모두 주세요,DIGITAL_P쿠폰요청,DIGITAL,P
데이터 공짜,DIGITAL_P기타faq문의,DIGITAL,P
여러개 사고싶다,MART_P다중검색실행,MART,P
배송비 관련 상담,DIGITAL_P배송비문의,DIGITAL,P
제안을 해줘,DIGITAL_P추천,DIGITAL,P
사진올리려고 하는데요,DIGITAL_P사진올리기기능안내,DIGITAL,P
상담원분이신거죠,DIGITAL_P챗봇여부문의,DIGITAL,P
저령하고,MART_P행사상품,MART,P
궁금한거물어봐도되요,DIGITAL_P상담요청,DIGITAL,P
구매한,DIGITAL_P구매완료,DIGITAL,P
어떤 대화를 해야,DIGITAL_P채팅,DIGITAL,P
주문,DIGITAL_P주문,DIGITAL,P
주문건 캔슬,DIGITAL_P주문취소,DIGITAL,P
다른거 고를래,DIGITAL_P추가추천,DIGITAL,P
쿠폰환불$,DIGITAL_P환불문의,DIGITAL,P
퇴근하자,DIGITAL_P채팅,DIGITAL,P
언제 생산했나요,MART_P제조일자문의,MART,P
마트에서만 하는거에요,MART_P마트챗봇문의,MART,P
어린이날쿠폰,DIGITAL_P쿠폰요청,DIGITAL,P
웰컴혜택 어디,DIGITAL_P쿠폰요청,DIGITAL,P
실례했습니다. 나중에 다시,DIGITAL_P대화종료,DIGITAL,P
뭐가 다른건가요,DIGITAL_P차이점,DIGITAL,P
상담 받고 싶,DIGITAL_P상담요청,DIGITAL,P
쿠폰 적요이 안되나요,DIGITAL_P쿠폰적용문의,DIGITAL,P
카드발급,DIGITAL_P결제문의,DIGITAL,P
직원코드가 필요,DIGITAL_P기타faq문의,DIGITAL,P
활용 쿠폰 있으면 알려 주세요,DIGITAL_P쿠폰요청,DIGITAL,P
사람맞아,DIGITAL_P챗봇여부문의,DIGITAL,P
프로모션에 적용이 되나요,DIGITAL_P행사문의,DIGITAL,P
리뷰 평점 문의,DIGITAL_P리뷰평점문의,DIGITAL,P
sk포인트,DIGITAL_P결제문의,DIGITAL,P
본인 인증 회원,DIGITAL_P본인인증문의,DIGITAL,P
취소 건에 대해서,DIGITAL_P주문취소,DIGITAL,P
쓰던거 반납처리좀 해주세요,DIGITAL_P폐가전수거,DIGITAL,P
싸이즈른 봐야해서요,DIGITAL_P사이즈문의,DIGITAL,P
쓰던거 수거하는 거는,DIGITAL_P폐가전수거,DIGITAL,P
$어떤 색상$,DIGITAL_P색상변경문의,DIGITAL,P
상품권으로 구매 가능,DIGITAL_P결제문의,DIGITAL,P
//물건 없나요,DIGITAL_P추천,DIGITAL,P
vip 카테고리,DIGITAL_P기타faq문의,DIGITAL,P
쿠폰 발급해주신 걸로,DIGITAL_P쿠폰적용문의,DIGITAL,P
넌 무슨 상담 해,MART_P마트챗봇문의,MART,P
어디서 하소연하지요,DIGITAL_P상담원연결,DIGITAL,P
$너 싫어$,DIGITAL_P채팅,DIGITAL,P
차이 많이 나는지요,DIGITAL_P차이점,DIGITAL,P
사야하,DIGITAL_P추천,DIGITAL,P
11번가 pay 등록,DIGITAL_P결제문의,DIGITAL,P
케시백 어떻게 쓰나요,DIGITAL_P기타faq문의,DIGITAL,P
물건 산 기록,DIGITAL_P주문이력확인,DIGITAL,P
니가 챗봇이니,DIGITAL_P챗봇여부문의,DIGITAL,P
카드 전표,DIGITAL_P주문이력확인,DIGITAL,P
제품 새로 업데이트되는거,DIGITAL_P기타faq문의,DIGITAL,P
배송이 안되고,DIGITAL_P배송문의,DIGITAL,P
콕콕11시,DIGITAL_P행사문의,DIGITAL,P
톡매니저 뭐야,DIGITAL_P톡매니저,DIGITAL,P
$다른 상품으로$,DIGITAL_P추가추천,DIGITAL,P
